simplified_color,simplified_sex,age,simplified_condition,simplified_type,days_stayed,simplified_color_encoded,simplified_sex_encoded,simplified_condition_encoded,simplified_type_encoded
GRAY,FEMALE,4,NORMAL,STRAY,53,1,0,3,2
TABBY,MALE,4,NORMAL,STRAY,11,3,1,3,2
BLACK,MALE,9,NORMAL,OWNER SURRENDER,123,0,1,3,1
TABBY,MALE,4,UNDER WEIGHT,STRAY,62,3,1,5,2
GRAY,MALE,4,NORMAL,STRAY,99,1,1,3,2
WHITE,MALE,5,NORMAL,OWNER SURRENDER,143,4,1,3,1
BLACK,MALE,4,NORMAL,OWNER SURRENDER,210,0,1,3,1
OTHER,FEMALE,7,NORMAL,STRAY,41,2,0,3,2
TABBY,MALE,6,NORMAL,STRAY,134,3,1,3,2
OTHER,FEMALE,4,UNDER WEIGHT,STRAY,30,2,0,5,2
GRAY,MALE,4,NORMAL,STRAY,4,1,1,3,2
BLACK,FEMALE,4,NORMAL,STRAY,105,0,0,3,2
BLACK,FEMALE,6,NORMAL,OWNER SURRENDER,8,0,0,3,1
BLACK,FEMALE,9,NORMAL,STRAY,15,0,0,3,2
OTHER,MALE,4,UNDER WEIGHT,STRAY,6,2,1,5,2
OTHER,FEMALE,4,NORMAL,STRAY,69,2,0,3,2
BLACK,FEMALE,4,OTHER,STRAY,140,0,0,4,2
TABBY,MALE,4,NORMAL,STRAY,165,3,1,3,2
BLACK,FEMALE,8,OTHER,STRAY,128,0,0,4,2
WHITE,MALE,4,ILL MILD,STRAY,182,4,1,0,2
OTHER,MALE,6,NORMAL,OWNER SURRENDER,34,2,1,3,1
OTHER,MALE,6,NORMAL,STRAY,14,2,1,3,2
BLACK,FEMALE,6,NORMAL,STRAY,52,0,0,3,2
TABBY,FEMALE,4,NORMAL,STRAY,1,3,0,3,2
WHITE,MALE,4,UNDER WEIGHT,STRAY,7,4,1,5,2
TABBY,FEMALE,11,NORMAL,OWNER SURRENDER,120,3,0,3,1
TABBY,MALE,4,UNDER WEIGHT,STRAY,109,3,1,5,2
TABBY,MALE,4,NORMAL,STRAY,15,3,1,3,2
TABBY,FEMALE,4,NORMAL,STRAY,53,3,0,3,2
BLACK,MALE,10,NORMAL,STRAY,113,0,1,3,2
GRAY,FEMALE,4,NORMAL,STRAY,43,1,0,3,2
BLACK,MALE,13,NORMAL,STRAY,212,0,1,3,2
WHITE,FEMALE,6,NORMAL,STRAY,87,4,0,3,2
OTHER,FEMALE,4,UNDER WEIGHT,STRAY,15,2,0,5,2
BLACK,FEMALE,4,UNDER WEIGHT,STRAY,74,0,0,5,2
TABBY,FEMALE,7,NORMAL,OTHER,48,3,0,3,0
OTHER,FEMALE,4,UNDER WEIGHT,STRAY,65,2,0,5,2
BLACK,MALE,4,UNDER WEIGHT,STRAY,236,0,1,5,2
BLACK,FEMALE,4,UNDER WEIGHT,STRAY,89,0,0,5,2
GRAY,MALE,4,OTHER,STRAY,34,1,1,4,2
TABBY,FEMALE,4,NORMAL,STRAY,49,3,0,3,2
OTHER,FEMALE,4,NORMAL,STRAY,21,2,0,3,2
WHITE,MALE,4,NORMAL,STRAY,24,4,1,3,2
TABBY,FEMALE,4,NORMAL,STRAY,67,3,0,3,2
WHITE,FEMALE,4,NORMAL,STRAY,4,4,0,3,2
BLACK,FEMALE,12,NORMAL,STRAY,101,0,0,3,2
TABBY,MALE,4,NORMAL,STRAY,48,3,1,3,2
BLACK,MALE,4,NORMAL,STRAY,94,0,1,3,2
TABBY,MALE,4,NORMAL,STRAY,20,3,1,3,2
BLACK,MALE,4,NORMAL,STRAY,25,0,1,3,2
OTHER,FEMALE,7,OTHER,OWNER SURRENDER,26,2,0,4,1
OTHER,MALE,8,INJURED,STRAY,13,2,1,2,2
TABBY,MALE,5,INJURED,STRAY,11,3,1,2,2
GRAY,MALE,5,NORMAL,STRAY,13,1,1,3,2
TABBY,FEMALE,4,ILL MILD,STRAY,14,3,0,0,2
TABBY,FEMALE,4,OTHER,OTHER,1,3,0,4,0
TABBY,FEMALE,4,NORMAL,OTHER,14,3,0,3,0
TABBY,FEMALE,4,NORMAL,OTHER,13,3,0,3,0
TABBY,MALE,8,NORMAL,STRAY,11,3,1,3,2
OTHER,FEMALE,4,NORMAL,STRAY,11,2,0,3,2
OTHER,FEMALE,4,NORMAL,STRAY,30,2,0,3,2
GRAY,MALE,3,NORMAL,STRAY,9,1,1,3,2
BLACK,FEMALE,4,NORMAL,STRAY,28,0,0,3,2
TABBY,MALE,4,ILL MILD,STRAY,11,3,1,0,2
TABBY,MALE,5,NORMAL,STRAY,13,3,1,3,2
OTHER,MALE,11,NORMAL,OTHER,19,2,1,3,0
OTHER,MALE,4,NORMAL,STRAY,10,2,1,3,2
TABBY,FEMALE,4,NORMAL,OTHER,1,3,0,3,0
TABBY,FEMALE,5,NORMAL,OWNER SURRENDER,79,3,0,3,1
GRAY,FEMALE,4,OTHER,STRAY,10,1,0,4,2
TABBY,FEMALE,3,NORMAL,OWNER SURRENDER,8,3,0,3,1
OTHER,MALE,3,UNDER WEIGHT,STRAY,4,2,1,5,2
TABBY,FEMALE,6,NORMAL,STRAY,52,3,0,3,2
TABBY,FEMALE,3,UNDER WEIGHT,STRAY,35,3,0,5,2
TABBY,MALE,3,UNDER WEIGHT,STRAY,38,3,1,5,2
GRAY,MALE,11,NORMAL,STRAY,43,1,1,3,2
TABBY,MALE,3,NORMAL,STRAY,6,3,1,3,2
BLACK,MALE,3,NORMAL,STRAY,51,0,1,3,2
BLACK,MALE,3,NORMAL,STRAY,47,0,1,3,2
OTHER,FEMALE,3,NORMAL,STRAY,28,2,0,3,2
TABBY,MALE,10,NORMAL,STRAY,75,3,1,3,2
BLACK,MALE,3,NORMAL,STRAY,12,0,1,3,2
WHITE,FEMALE,3,NORMAL,STRAY,70,4,0,3,2
TABBY,MALE,3,NORMAL,STRAY,31,3,1,3,2
TABBY,MALE,7,INJURED,STRAY,70,3,1,2,2
TABBY,MALE,6,NORMAL,OWNER SURRENDER,36,3,1,3,1
GRAY,MALE,3,NORMAL,STRAY,12,1,1,3,2
TABBY,FEMALE,4,NORMAL,STRAY,16,3,0,3,2
WHITE,FEMALE,4,OTHER,STRAY,25,4,0,4,2
WHITE,MALE,8,OTHER,STRAY,183,4,1,4,2
BLACK,FEMALE,3,NORMAL,OWNER SURRENDER,20,0,0,3,1
GRAY,FEMALE,6,NORMAL,OTHER,15,1,0,3,0
GRAY,MALE,5,OTHER,STRAY,13,1,1,4,2
TABBY,MALE,3,NORMAL,STRAY,34,3,1,3,2
TABBY,MALE,3,NORMAL,STRAY,6,3,1,3,2
TABBY,FEMALE,3,NORMAL,STRAY,34,3,0,3,2
OTHER,MALE,6,INJURED,STRAY,7,2,1,2,2
WHITE,FEMALE,3,INJURED,STRAY,20,4,0,2,2
BLACK,FEMALE,3,UNDER WEIGHT,STRAY,283,0,0,5,2
BLACK,MALE,8,OTHER,STRAY,51,0,1,4,2
TABBY,FEMALE,3,NORMAL,STRAY,21,3,0,3,2
BLACK,FEMALE,8,NORMAL,OTHER,11,0,0,3,0
BLACK,MALE,3,NORMAL,STRAY,36,0,1,3,2
BLACK,MALE,9,OTHER,STRAY,23,0,1,4,2
OTHER,FEMALE,3,NORMAL,STRAY,131,2,0,3,2
BLACK,MALE,3,NORMAL,STRAY,83,0,1,3,2
OTHER,MALE,3,NORMAL,STRAY,9,2,1,3,2
BLACK,MALE,3,NORMAL,STRAY,32,0,1,3,2
WHITE,MALE,3,NORMAL,STRAY,11,4,1,3,2
WHITE,FEMALE,3,UNDER WEIGHT,STRAY,36,4,0,5,2
TABBY,MALE,6,NORMAL,STRAY,20,3,1,3,2
BLACK,MALE,3,UNDER WEIGHT,STRAY,10,0,1,5,2
GRAY,FEMALE,3,NORMAL,STRAY,8,1,0,3,2
OTHER,FEMALE,3,NORMAL,STRAY,23,2,0,3,2
GRAY,MALE,3,NORMAL,OTHER,14,1,1,3,0
OTHER,MALE,10,OTHER,STRAY,78,2,1,4,2
WHITE,MALE,3,NORMAL,STRAY,15,4,1,3,2
OTHER,MALE,3,UNDER WEIGHT,STRAY,62,2,1,5,2
BLACK,FEMALE,3,OTHER,STRAY,14,0,0,4,2
BLACK,MALE,3,NORMAL,STRAY,7,0,1,3,2
BLACK,MALE,3,ILL MILD,STRAY,30,0,1,0,2
TABBY,FEMALE,3,INJURED,STRAY,10,3,0,2,2
TABBY,FEMALE,4,OTHER,STRAY,4,3,0,4,2
TABBY,FEMALE,3,NORMAL,STRAY,17,3,0,3,2
TABBY,MALE,3,NORMAL,STRAY,21,3,1,3,2
GRAY,FEMALE,4,NORMAL,STRAY,13,1,0,3,2
OTHER,FEMALE,4,NORMAL,STRAY,19,2,0,3,2
OTHER,FEMALE,3,NORMAL,STRAY,5,2,0,3,2
GRAY,MALE,12,NORMAL,OWNER SURRENDER,12,1,1,3,1
WHITE,FEMALE,10,NORMAL,OWNER SURRENDER,12,4,0,3,1
OTHER,FEMALE,3,NORMAL,STRAY,78,2,0,3,2
BLACK,MALE,2,NORMAL,STRAY,6,0,1,3,2
WHITE,FEMALE,2,NORMAL,STRAY,6,4,0,3,2
OTHER,FEMALE,2,NORMAL,STRAY,6,2,0,3,2
TABBY,FEMALE,3,NORMAL,STRAY,8,3,0,3,2
TABBY,FEMALE,3,NORMAL,STRAY,5,3,0,3,2
TABBY,MALE,3,NORMAL,OWNER SURRENDER,28,3,1,3,1
BLACK,MALE,3,NORMAL,OWNER SURRENDER,8,0,1,3,1
OTHER,MALE,3,NORMAL,OWNER SURRENDER,5,2,1,3,1
GRAY,FEMALE,4,NORMAL,OWNER SURRENDER,1,1,0,3,1
GRAY,MALE,2,UNDER WEIGHT,STRAY,59,1,1,5,2
TABBY,MALE,2,UNDER WEIGHT,STRAY,113,3,1,5,2
BLACK,FEMALE,2,OTHER,STRAY,10,0,0,4,2
TABBY,FEMALE,2,UNDER WEIGHT,STRAY,91,3,0,5,2
OTHER,FEMALE,2,ILL MILD,STRAY,10,2,0,0,2
TABBY,MALE,5,INJURED,STRAY,93,3,1,2,2
OTHER,MALE,2,NORMAL,STRAY,12,2,1,3,2
BLACK,MALE,2,UNDER WEIGHT,STRAY,102,0,1,5,2
OTHER,FEMALE,2,NORMAL,STRAY,265,2,0,3,2
OTHER,FEMALE,2,NORMAL,STRAY,83,2,0,3,2
BLACK,MALE,5,ILL MILD,STRAY,200,0,1,0,2
TABBY,MALE,2,NORMAL,STRAY,9,3,1,3,2
GRAY,FEMALE,2,NORMAL,STRAY,89,1,0,3,2
TABBY,MALE,2,NORMAL,STRAY,131,3,1,3,2
TABBY,FEMALE,2,INJURED,STRAY,61,3,0,2,2
WHITE,FEMALE,2,NORMAL,STRAY,9,4,0,3,2
BLACK,FEMALE,2,UNDER WEIGHT,STRAY,89,0,0,5,2
GRAY,FEMALE,2,UNDER WEIGHT,STRAY,98,1,0,5,2
TABBY,MALE,2,NORMAL,STRAY,59,3,1,3,2
OTHER,FEMALE,5,INJURED,STRAY,138,2,0,2,2
WHITE,MALE,2,UNDER WEIGHT,STRAY,48,4,1,5,2
TABBY,MALE,2,NORMAL,STRAY,20,3,1,3,2
BLACK,MALE,2,NORMAL,STRAY,151,0,1,3,2
WHITE,MALE,6,NORMAL,STRAY,37,4,1,3,2
TABBY,FEMALE,2,INJURED,STRAY,56,3,0,2,2
TABBY,MALE,2,UNDER WEIGHT,STRAY,78,3,1,5,2
TABBY,FEMALE,2,UNDER WEIGHT,STRAY,85,3,0,5,2
GRAY,MALE,5,NORMAL,OTHER,41,1,1,3,0
OTHER,MALE,2,NORMAL,STRAY,50,2,1,3,2
TABBY,MALE,2,NORMAL,STRAY,45,3,1,3,2
TABBY,FEMALE,2,NORMAL,STRAY,14,3,0,3,2
OTHER,FEMALE,2,NORMAL,STRAY,0,2,0,3,2
GRAY,FEMALE,2,NORMAL,STRAY,45,1,0,3,2
TABBY,MALE,2,UNDER WEIGHT,STRAY,111,3,1,5,2
TABBY,FEMALE,2,NORMAL,STRAY,68,3,0,3,2
OTHER,FEMALE,2,OTHER,STRAY,65,2,0,4,2
BLACK,MALE,2,NORMAL,STRAY,105,0,1,3,2
WHITE,FEMALE,3,NORMAL,STRAY,131,4,0,3,2
TABBY,MALE,2,NORMAL,STRAY,264,3,1,3,2
WHITE,FEMALE,2,UNDER WEIGHT,STRAY,22,4,0,5,2
BLACK,MALE,11,NORMAL,OTHER,73,0,1,3,0
TABBY,MALE,3,NORMAL,OTHER,224,3,1,3,0
OTHER,MALE,3,NORMAL,OWNER SURRENDER,42,2,1,3,1
WHITE,MALE,8,NORMAL,STRAY,73,4,1,3,2
OTHER,FEMALE,2,NORMAL,STRAY,8,2,0,3,2
OTHER,FEMALE,2,NORMAL,STRAY,2,2,0,3,2
OTHER,FEMALE,11,NORMAL,OWNER SURRENDER,74,2,0,3,1
OTHER,MALE,4,INJURED,STRAY,36,2,1,2,2
BLACK,MALE,2,ILL MILD,OWNER SURRENDER,144,0,1,0,1
WHITE,MALE,3,NORMAL,OWNER SURRENDER,238,4,1,3,1
BLACK,FEMALE,2,NORMAL,STRAY,6,0,0,3,2
GRAY,FEMALE,2,NORMAL,OWNER SURRENDER,15,1,0,3,1
TABBY,MALE,2,NORMAL,STRAY,6,3,1,3,2
OTHER,MALE,4,NORMAL,OWNER SURRENDER,16,2,1,3,1
BLACK,MALE,4,NORMAL,OWNER SURRENDER,20,0,1,3,1
BLACK,MALE,2,NORMAL,OWNER SURRENDER,135,0,1,3,1
BLACK,FEMALE,6,ILL MILD,OWNER SURRENDER,3,0,0,0,1
TABBY,MALE,6,NORMAL,OTHER,14,3,1,3,0
GRAY,FEMALE,1,UNDER WEIGHT,STRAY,97,1,0,5,2
OTHER,FEMALE,1,UNDER WEIGHT,STRAY,127,2,0,5,2
OTHER,MALE,3,OTHER,OWNER SURRENDER,126,2,1,4,1
BLACK,MALE,3,INJURED,STRAY,20,0,1,2,2
BLACK,FEMALE,5,NORMAL,OWNER SURRENDER,13,0,0,3,1
TABBY,MALE,3,NORMAL,STRAY,122,3,1,3,2
OTHER,FEMALE,2,NORMAL,OWNER SURRENDER,95,2,0,3,1
TABBY,FEMALE,1,UNDER WEIGHT,STRAY,69,3,0,5,2
TABBY,MALE,1,UNDER WEIGHT,STRAY,67,3,1,5,2
TABBY,MALE,3,NORMAL,STRAY,280,3,1,3,2
GRAY,MALE,4,NORMAL,OWNER SURRENDER,34,1,1,3,1
BLACK,MALE,2,NORMAL,OWNER SURRENDER,52,0,1,3,1
BLACK,FEMALE,1,UNDER WEIGHT,STRAY,40,0,0,5,2
OTHER,FEMALE,1,UNDER WEIGHT,STRAY,2,2,0,5,2
TABBY,MALE,1,NORMAL,STRAY,8,3,1,3,2
GRAY,FEMALE,2,NORMAL,STRAY,7,1,0,3,2
TABBY,FEMALE,1,INJURED,STRAY,9,3,0,2,2
TABBY,FEMALE,1,UNDER WEIGHT,STRAY,0,3,0,5,2
BLACK,FEMALE,2,NORMAL,OWNER SURRENDER,78,0,0,3,1
TABBY,MALE,3,ILL MILD,STRAY,13,3,1,0,2
TABBY,MALE,1,NORMAL,OTHER,151,3,1,3,0
TABBY,MALE,1,UNDER WEIGHT,STRAY,60,3,1,5,2
TABBY,MALE,1,UNDER WEIGHT,STRAY,67,3,1,5,2
TABBY,FEMALE,1,NORMAL,STRAY,16,3,0,3,2
OTHER,FEMALE,1,UNDER WEIGHT,STRAY,69,2,0,5,2
TABBY,MALE,1,UNDER WEIGHT,STRAY,30,3,1,5,2
OTHER,FEMALE,2,ILL MILD,STRAY,13,2,0,0,2
BLACK,MALE,9,OTHER,OWNER SURRENDER,123,0,1,4,1
BLACK,MALE,1,UNDER WEIGHT,STRAY,9,0,1,5,2
BLACK,MALE,1,NORMAL,STRAY,5,0,1,3,2
WHITE,MALE,1,ILL MILD,STRAY,12,4,1,0,2
BLACK,FEMALE,2,ILL MILD,STRAY,52,0,0,0,2
BLACK,FEMALE,1,NORMAL,OTHER,120,0,0,3,0
BLACK,MALE,1,NORMAL,STRAY,43,0,1,3,2
BLACK,MALE,1,UNDER WEIGHT,STRAY,59,0,1,5,2
TABBY,FEMALE,4,OTHER,OWNER SURRENDER,192,3,0,4,1
WHITE,FEMALE,1,UNDER WEIGHT,STRAY,56,4,0,5,2
GRAY,MALE,1,ILL MILD,STRAY,23,1,1,0,2
TABBY,FEMALE,1,UNDER WEIGHT,STRAY,53,3,0,5,2
OTHER,MALE,1,UNDER WEIGHT,STRAY,15,2,1,5,2
TABBY,MALE,1,INJURED,STRAY,23,3,1,2,2
TABBY,MALE,1,OTHER,OTHER,32,3,1,4,0
GRAY,FEMALE,1,UNDER WEIGHT,STRAY,40,1,0,5,2
TABBY,MALE,1,NORMAL,STRAY,9,3,1,3,2
BLACK,FEMALE,1,NORMAL,STRAY,27,0,0,3,2
WHITE,MALE,5,INJURED,STRAY,77,4,1,2,2
BLACK,MALE,1,UNDER WEIGHT,STRAY,4,0,1,5,2
OTHER,FEMALE,4,NORMAL,STRAY,6,2,0,3,2
TABBY,FEMALE,1,UNDER WEIGHT,STRAY,77,3,0,5,2
BLACK,MALE,1,NORMAL,STRAY,1,0,1,3,2
OTHER,FEMALE,1,UNDER WEIGHT,STRAY,3,2,0,5,2
GRAY,FEMALE,1,NORMAL,STRAY,9,1,0,3,2
GRAY,MALE,1,UNDER WEIGHT,STRAY,27,1,1,5,2
GRAY,FEMALE,1,UNDER WEIGHT,STRAY,15,1,0,5,2
OTHER,FEMALE,1,UNDER WEIGHT,STRAY,38,2,0,5,2
TABBY,MALE,4,INJURED,STRAY,103,3,1,2,2
GRAY,FEMALE,1,NORMAL,OTHER,1,1,0,3,0
TABBY,MALE,1,ILL MILD,STRAY,25,3,1,0,2
WHITE,FEMALE,1,NORMAL,STRAY,5,4,0,3,2
BLACK,MALE,1,ILL MILD,STRAY,35,0,1,0,2
WHITE,FEMALE,1,ILL MILD,STRAY,35,4,0,0,2
GRAY,MALE,1,UNDER WEIGHT,STRAY,24,1,1,5,2
OTHER,MALE,3,ILL MILD,STRAY,13,2,1,0,2
BLACK,MALE,4,INJURED,STRAY,21,0,1,2,2
TABBY,MALE,1,UNDER WEIGHT,STRAY,32,3,1,5,2
OTHER,FEMALE,3,NORMAL,OWNER SURRENDER,30,2,0,3,1
TABBY,MALE,1,UNDER WEIGHT,STRAY,14,3,1,5,2
TABBY,FEMALE,2,INJURED,STRAY,99,3,0,2,2
TABBY,FEMALE,1,UNDER WEIGHT,STRAY,32,3,0,5,2
TABBY,MALE,6,INJURED,STRAY,87,3,1,2,2
TABBY,FEMALE,1,NORMAL,OTHER,0,3,0,3,0
GRAY,MALE,1,OTHER,STRAY,55,1,1,4,2
BLACK,FEMALE,1,UNDER WEIGHT,STRAY,34,0,0,5,2
TABBY,FEMALE,2,NORMAL,STRAY,9,3,0,3,2
TABBY,MALE,1,INJURED,STRAY,13,3,1,2,2
WHITE,MALE,2,OTHER,STRAY,58,4,1,4,2
BLACK,MALE,1,NORMAL,STRAY,92,0,1,3,2
BLACK,FEMALE,1,NORMAL,STRAY,29,0,0,3,2
BLACK,FEMALE,1,NORMAL,STRAY,128,0,0,3,2
GRAY,MALE,1,UNDER WEIGHT,STRAY,5,1,1,5,2
BLACK,FEMALE,1,NORMAL,STRAY,24,0,0,3,2
OTHER,FEMALE,1,INJURED,STRAY,33,2,0,2,2
GRAY,MALE,0,OTHER,STRAY,8,1,1,4,2
TABBY,MALE,1,NORMAL,STRAY,6,3,1,3,2
OTHER,FEMALE,1,NORMAL,STRAY,5,2,0,3,2
TABBY,MALE,2,NORMAL,OWNER SURRENDER,7,3,1,3,1
BLACK,FEMALE,10,NORMAL,OTHER,20,0,0,3,0
GRAY,MALE,4,NORMAL,OTHER,22,1,1,3,0
GRAY,MALE,4,INJURED,STRAY,16,1,1,2,2
TABBY,MALE,5,OTHER,STRAY,49,3,1,4,2
BLACK,MALE,5,ILL SEVERE,STRAY,174,0,1,1,2
TABBY,MALE,1,NORMAL,OWNER SURRENDER,3,3,1,3,1
BLACK,FEMALE,1,NORMAL,STRAY,6,0,0,3,2
OTHER,MALE,0,UNDER WEIGHT,STRAY,84,2,1,5,2
BLACK,FEMALE,8,NORMAL,OTHER,9,0,0,3,0
BLACK,FEMALE,0,OTHER,STRAY,122,0,0,4,2
BLACK,FEMALE,5,NORMAL,OWNER SURRENDER,109,0,0,3,1
BLACK,FEMALE,3,INJURED,STRAY,74,0,0,2,2
OTHER,MALE,0,NORMAL,STRAY,68,2,1,3,2
OTHER,FEMALE,2,NORMAL,STRAY,36,2,0,3,2
WHITE,FEMALE,1,INJURED,STRAY,5,4,0,2,2
BLACK,MALE,0,UNDER WEIGHT,STRAY,48,0,1,5,2
OTHER,FEMALE,0,NORMAL,STRAY,8,2,0,3,2
GRAY,MALE,0,UNDER WEIGHT,STRAY,1,1,1,5,2
BLACK,MALE,0,OTHER,STRAY,37,0,1,4,2
TABBY,MALE,0,UNDER WEIGHT,STRAY,39,3,1,5,2
TABBY,MALE,0,UNDER WEIGHT,STRAY,4,3,1,5,2
TABBY,MALE,0,UNDER WEIGHT,STRAY,35,3,1,5,2
TABBY,MALE,5,NORMAL,STRAY,168,3,1,3,2
GRAY,MALE,1,ILL MILD,STRAY,43,1,1,0,2
OTHER,FEMALE,0,NORMAL,STRAY,12,2,0,3,2
TABBY,MALE,0,NORMAL,STRAY,8,3,1,3,2
OTHER,FEMALE,0,NORMAL,STRAY,8,2,0,3,2
GRAY,MALE,0,UNDER WEIGHT,STRAY,55,1,1,5,2
WHITE,FEMALE,1,NORMAL,STRAY,80,4,0,3,2
TABBY,MALE,0,ILL MILD,STRAY,23,3,1,0,2
OTHER,MALE,1,INJURED,STRAY,16,2,1,2,2
BLACK,MALE,0,UNDER WEIGHT,STRAY,71,0,1,5,2
TABBY,FEMALE,1,NORMAL,STRAY,15,3,0,3,2
GRAY,MALE,2,INJURED,STRAY,21,1,1,2,2
TABBY,MALE,0,OTHER,STRAY,93,3,1,4,2
BLACK,MALE,0,UNDER WEIGHT,STRAY,52,0,1,5,2
WHITE,MALE,0,NORMAL,STRAY,66,4,1,3,2
WHITE,FEMALE,0,NORMAL,STRAY,56,4,0,3,2
WHITE,FEMALE,5,OTHER,STRAY,36,4,0,4,2
OTHER,FEMALE,1,NORMAL,OTHER,17,2,0,3,0
OTHER,FEMALE,1,NORMAL,STRAY,48,2,0,3,2
OTHER,MALE,6,NORMAL,STRAY,90,2,1,3,2
TABBY,FEMALE,0,OTHER,OWNER SURRENDER,46,3,0,4,1
BLACK,FEMALE,0,NORMAL,STRAY,75,0,0,3,2
TABBY,MALE,0,ILL MILD,STRAY,42,3,1,0,2
WHITE,MALE,3,ILL MILD,STRAY,7,4,1,0,2
OTHER,FEMALE,14,OTHER,OWNER SURRENDER,72,2,0,4,1
OTHER,FEMALE,12,NORMAL,OWNER SURRENDER,9,2,0,3,1
OTHER,FEMALE,9,NORMAL,OWNER SURRENDER,7,2,0,3,1
BLACK,FEMALE,9,NORMAL,STRAY,108,0,0,3,2
GRAY,FEMALE,9,ILL MILD,OWNER SURRENDER,40,1,0,0,1
TABBY,FEMALE,10,NORMAL,OWNER SURRENDER,144,3,0,3,1
GRAY,MALE,8,NORMAL,OWNER SURRENDER,3,1,1,3,1
OTHER,FEMALE,7,NORMAL,STRAY,27,2,0,3,2
OTHER,MALE,12,NORMAL,STRAY,6,2,1,3,2
BLACK,MALE,9,NORMAL,STRAY,297,0,1,3,2
TABBY,FEMALE,6,UNDER WEIGHT,STRAY,5,3,0,5,2
TABBY,MALE,6,OTHER,STRAY,22,3,1,4,2
BLACK,FEMALE,9,NORMAL,STRAY,16,0,0,3,2
OTHER,FEMALE,7,NORMAL,OWNER SURRENDER,68,2,0,3,1
GRAY,MALE,13,NORMAL,OWNER SURRENDER,146,1,1,3,1
TABBY,MALE,9,NORMAL,STRAY,8,3,1,3,2
BLACK,FEMALE,6,NORMAL,STRAY,56,0,0,3,2
TABBY,MALE,8,NORMAL,STRAY,124,3,1,3,2
TABBY,FEMALE,6,NORMAL,STRAY,76,3,0,3,2
TABBY,MALE,6,UNDER WEIGHT,STRAY,43,3,1,5,2
BLACK,MALE,6,UNDER WEIGHT,STRAY,75,0,1,5,2
GRAY,FEMALE,6,OTHER,STRAY,50,1,0,4,2
BLACK,FEMALE,6,ILL MILD,STRAY,30,0,0,0,2
BLACK,MALE,9,NORMAL,STRAY,81,0,1,3,2
TABBY,FEMALE,6,NORMAL,STRAY,13,3,0,3,2
TABBY,FEMALE,6,NORMAL,STRAY,14,3,0,3,2
GRAY,FEMALE,6,NORMAL,STRAY,13,1,0,3,2
GRAY,MALE,10,NORMAL,OWNER SURRENDER,43,1,1,3,1
TABBY,MALE,6,INJURED,STRAY,37,3,1,2,2
BLACK,MALE,6,NORMAL,STRAY,20,0,1,3,2
OTHER,MALE,8,NORMAL,STRAY,9,2,1,3,2
TABBY,FEMALE,6,NORMAL,STRAY,6,3,0,3,2
TABBY,FEMALE,6,NORMAL,STRAY,14,3,0,3,2
TABBY,MALE,7,NORMAL,STRAY,12,3,1,3,2
OTHER,MALE,6,NORMAL,STRAY,10,2,1,3,2
OTHER,FEMALE,6,OTHER,STRAY,35,2,0,4,2
OTHER,FEMALE,6,NORMAL,STRAY,50,2,0,3,2
TABBY,FEMALE,7,NORMAL,STRAY,39,3,0,3,2
BLACK,FEMALE,11,NORMAL,OWNER SURRENDER,90,0,0,3,1
BLACK,MALE,6,UNDER WEIGHT,STRAY,99,0,1,5,2
TABBY,FEMALE,6,UNDER WEIGHT,STRAY,39,3,0,5,2
TABBY,FEMALE,6,NORMAL,STRAY,38,3,0,3,2
TABBY,FEMALE,6,OTHER,STRAY,21,3,0,4,2
TABBY,FEMALE,6,NORMAL,STRAY,6,3,0,3,2
WHITE,MALE,10,NORMAL,STRAY,128,4,1,3,2
OTHER,FEMALE,6,OTHER,STRAY,45,2,0,4,2
TABBY,FEMALE,8,NORMAL,STRAY,70,3,0,3,2
OTHER,FEMALE,6,NORMAL,STRAY,30,2,0,3,2
TABBY,MALE,10,NORMAL,STRAY,65,3,1,3,2
WHITE,MALE,10,NORMAL,STRAY,25,4,1,3,2
BLACK,FEMALE,6,NORMAL,OWNER SURRENDER,5,0,0,3,1
TABBY,MALE,6,NORMAL,STRAY,6,3,1,3,2
GRAY,FEMALE,6,NORMAL,STRAY,24,1,0,3,2
OTHER,FEMALE,6,NORMAL,OWNER SURRENDER,15,2,0,3,1
OTHER,FEMALE,6,NORMAL,STRAY,9,2,0,3,2
TABBY,MALE,6,OTHER,STRAY,38,3,1,4,2
TABBY,MALE,14,NORMAL,OWNER SURRENDER,15,3,1,3,1
TABBY,MALE,6,NORMAL,STRAY,56,3,1,3,2
OTHER,FEMALE,8,NORMAL,OWNER SURRENDER,0,2,0,3,1
OTHER,MALE,7,NORMAL,OWNER SURRENDER,45,2,1,3,1
BLACK,MALE,7,NORMAL,STRAY,115,0,1,3,2
GRAY,MALE,9,NORMAL,OWNER SURRENDER,3,1,1,3,1
GRAY,FEMALE,8,ILL MILD,OWNER SURRENDER,196,1,0,0,1
TABBY,MALE,7,NORMAL,STRAY,29,3,1,3,2
BLACK,FEMALE,5,UNDER WEIGHT,STRAY,82,0,0,5,2
TABBY,FEMALE,5,OTHER,STRAY,98,3,0,4,2
OTHER,FEMALE,7,NORMAL,STRAY,126,2,0,3,2
BLACK,FEMALE,5,UNDER WEIGHT,STRAY,16,0,0,5,2
TABBY,MALE,5,UNDER WEIGHT,STRAY,3,3,1,5,2
TABBY,FEMALE,5,NORMAL,STRAY,14,3,0,3,2
BLACK,FEMALE,6,NORMAL,OWNER SURRENDER,24,0,0,3,1
